   ,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_amount,Ad_Date,Location,Device,Keyword,CTR,CPC,Conversion Rate,Cost per conversion,Return on AD spend
A1000,Data Analytics Course,104,4498,$231.88,14,7,5.80%,"$1,892",16/11/2024,Hyderabad,Desktop,Learn Data Analytics,2.31%,$2.23,6.73%,$33.13,8.16
A1001,Data Analytics Course,173,5107,$216.84,10,8,4.60%,"$1,679",20/11/2024,Hyderabad,Mobile,Data Analytics Course,3.39%,$1.25,4.62%,$27.11,7.74
A1002,Data Analytics Course,90,4544,$203.66,26,9,0.00%,"$1,624",16/11/2024,Hyderabad,Desktop,Data Analytics Online,1.98%,$2.26,10.00%,$22.63,7.97
A1003,Data Analytics Course,142,3185,$237.66,17,6,0.00%,"$1,225",26/11/2024,Hyderabad,Tablet,Data Analytics Training,4.46%,$1.67,4.23%,$39.61,5.15
A1004,Data Analytics Course,156,3361,$195.90,30,8,0.00%,"$1,091",22/11/2024,Hyderabad,Desktop,Online Data Analytics,4.64%,$1.26,5.13%,$24.49,5.57
A1005,Data Analytics Course,195,3776,$243.57,10,8,0.00%,"$1,315",16/11/2024,Hyderabad,Mobile,Data Analytics Training,5.16%,$1.25,4.10%,$30.45,5.40
A1006,Data Analytics Course,116,4480,$237.79,17,5,4.30%,"$1,640",6/11/2024,Hyderabad,Tablet,Data Analytics Course,2.59%,$2.05,4.31%,$47.56,6.90
A1007,Data Analytics Course,184,5060,$229.61,23,3,1.60%,"$1,509",24/11/2024,Hyderabad,Tablet,Analytics For Data,3.64%,$1.25,1.63%,$76.54,6.57
A1008,Data Analytics Course,113,5434,$215.57,27,4,5.80%,"$1,362",24/11/2024,Hyderabad,Tablet,Data Analytics Training,2.08%,$1.91,3.54%,$53.89,6.32
A1009,Data Analytics Course,166,3355,$186.78,24,9,5.40%,"$1,029",11/12/2024,Hyderabad,Mobile,Online Data Analytics,4.95%,$1.13,5.42%,$20.75,5.51
